@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
1.54,0.13,1.0
-2.94,-0.14,-1.0
1.14,1.71,1.0
-1.29,1.48,-1.0
-0.24,-1.33,1.0
2.33,2.46,-1.0
-1.93,-0.37,1.0
0.08,-0.09,-1.0
-1.52,-2.02,1.0
-0.73,-0.09,-1.0
1.82,-1.42,1.0
-2.14,-0.36,-1.0
0.29,0.29,1.0
0.96,0.77,-1.0
-2.66,-2.19,1.0
-1.3,0.64,-1.0
-0.32,2.7,1.0
-2.85,-0.2,-1.0
-2.3,0.63,1.0
-2.7,1.42,-1.0
-0.65,1.52,1.0
-2.86,-1.96,-1.0
1.32,2.97,1.0
-0.65,-2.38,-1.0
-1.67,2.33,1.0
1.09,-0.47,-1.0
-2.71,1.93,1.0
-2.17,1.56,-1.0
-0.82,0.38,1.0
-0.21,2.63,-1.0
0.96,-2.18,1.0
-2.83,-0.49,-1.0
2.48,2.46,1.0
-2.23,3.18,-1.0
2.4,0.98,1.0
-2.96,2.21,-1.0
-2.95,-1.14,1.0
-0.67,-0.5,-1.0
2.72,-0.97,1.0
-1.9,1.22,-1.0
2.34,-2.33,1.0
1.02,2.21,-1.0
-2.86,2.93,1.0
2.55,1.32,-1.0
0.8,-0.96,1.0
2.02,-0.19,-1.0
-0.12,-2.37,1.0
1.31,1.04,-1.0
-3.06,-0.06,1.0
-1.46,-0.34,-1.0
2.75,0.03,1.0
2.2,-1.18,-1.0
-0.96,-0.62,1.0
-2.58,0.35,-1.0
